abundance_spreadsheet_sample_names,V1V2_ID,
10326_2_S82,X10326.2_S82,
10326_3_S83,X10326.3_S83,
10326_5_S85,X10326.5_S85,
10326_6_S86,X10326.6_S86,
10327_1_S89,X10327.1_S89,
10327_2_S90,X10327.2_S90,
10327_3_S91,X10327.3_S91,
10327_4_S92,X10327.4_S92,
10327_5_S93,X10327.5_S93,
10328_1_S101,X10328.1_S101,
10328_2_S102,X10328.2_S102,
10328_4_S103,X10328.4_S103,
10328_5_S104,X10328.5_S104,
10328_6_S105,X10328.6_S105,
1819C10N10_S68,X672.1819C10N10_S68,
1819C10N12_S69,X672.1819C10N12_S69,
1819C10N14_S70,X672.1819C10N14_S70,
1819C10N17_S71,X672.1819C10N17_S71,
1819C10N2_S65,X672.1819C10N2_S65,
1819C10N4_S66,X672.1819C10N4_S66,
1819C10N8_S67,X672.1819C10N8_S67,
1819C11N10_S44,X672.1819C11N10_S44,
1819C11N12_S77,X672.1819C11N12_S77,
1819C11N17_S79,X672.1819C11N17_S79,
1819C11N2_S73,X672.1819C11N2_S73,
1819C11N4_S74,X672.1819C11N4_S74,
1819C11N8_S75,X672.1819C11N8_S75,
1819C1N1_S17,X672.1819C1N1_S17,
1819C1N10_S21,X672.1819C1N10_S21,
1819C1N11_S22,X672.1819C1N11_S22,
1819C1N22_S23,X672.1819C1N22_S23,
1819C1N4_S18,X672.1819C1N4_S18,
1819C1N7_S19,X672.1819C1N7_S19,
1819C1N8_S20,X672.1819C1N8_S20,
1819C3N10_S28,X672.1819C3N10_S28,
1819C3N12_S29,X672.1819C3N12_S29,
1819C3N14_S30,X672.1819C3N14_S30,
1819C3N17_S31,X672.1819C3N17_S31,
1819C3N18_S32,X672.1819C3N18_S32,
1819C3N2_S25,X672.1819C3N2_S25,
1819C3N4_S26,X672.1819C3N4_S26,
1819C3N8_S27,X672.1819C3N8_S27,
1819C5N10_S36,X672.1819C5N10_S36,
1819C5N12_S37,X672.1819C5N12_S37,
1819C5N14_S38,X672.1819C5N14_S38,
1819C5N17_S39,X672.1819C5N17_S39,
1819C5N2_S33,X672.1819C5N2_S33,
1819C5N4_S34,X672.1819C5N4_S34,
1819C5N8_S35,X672.1819C5N8_S35,
1819C6N10_S76,X672.1819C6N10_S76,
1819C6N12_S45,X672.1819C6N12_S45,
1819C6N14_S46,X672.1819C6N14_S46,
1819C6N2_S41,X672.1819C6N2_S41,
1819C6N4_S42,X672.1819C6N4_S42,
1819C6N8_S43,X672.1819C6N8_S43,
1819C7N10_S52,X672.1819C7N10_S52,
1819C7N12_S53,X672.1819C7N12_S53,
1819C7N14_S54,X672.1819C7N14_S54,
1819C7N17_S55,X672.1819C7N17_S55,
1819C7N2_S49,X672.1819C7N2_S49,
1819C7N4_S50,X672.1819C7N4_S50,
1819C7N8_S51,X672.1819C7N8_S51,
1819C9N11_S61,X672.1819C9N11_S61,
1819C9N13_S62,X672.1819C9N13_S62,
1819C9N14_S63,X672.1819C9N14_S63,
1819C9N18_S64,X672.1819C9N18_S64,
1819C9N3_S58,X672.1819C9N3_S58,
1819C9N9_S59,X672.1819C9N9_S59,
BS_1_S62,BS.1_S62,
BS_101_S9,BS.101_S9,
BS_102_S10,BS.102_S10,
BS_104_S12,BS.104_S12,
BS_105_S13,BS.105_S13,
BS_114_S22,BS.114_S22,
BS_115_S23,BS.115_S23,
BS_116_S24,BS.116_S24,
BS_117_S25,BS.117_S25,
BS_118_S26,BS.118_S26,
BS_124_S32,BS.124_S32,
BS_125_S33,BS.125_S33,
BS_126_S34,BS.126_S34,
BS_127_S35,BS.127_S35,
BS_128_S36,BS.128_S36,
BS_13_S74,BS.13_S74,
BS_135_S43,BS.135_S43,
BS_136_S44,BS.136_S44,
BS_137_S45,BS.137_S45,
BS_138_S46,BS.138_S46,
BS_139_S47,BS.139_S47,
BS_14_S75,BS.14_S75,
BS_147_S55,BS.147_S55,
BS_148_S56,BS.148_S56,
BS_149_S57,BS.149_S57,
BS_15_S76,BS.15_S76,
BS_159_S67,BS.159_S67,
BS_16_S77,BS.16_S77,
BS_160_S68,BS.160_S68,
BS_161_S69,BS.161_S69,
BS_162_S70,BS.162_S70,
BS_163_S71,BS.163_S71,
BS_17_S78,BS.17_S78,
BS_171_S79,BS.171_S79,
BS_172_S80,BS.172_S80,
BS_173_S81,BS.173_S81,
BS_174_S82,BS.174_S82,
BS_177_S85,BS.177_S85,
BS_183_S21,BS183_S21,
BS_184_S22,BS184_S22,
BS_185_S23,BS185_S23,
BS_186_S24,BS186_S24,
BS_187_S25,BS187_S25,
BS_195_S33,BS195_S33,
BS_196_S34,BS196_S34,
BS_197_S35,BS197_S35,
BS_198_S36,BS198_S36,
BS_2_S63,BS.2_S63,
BS_207_S45,BS207_S45,
BS_208_S46,BS208_S46,
BS_209_S47,BS209_S47,
BS_210_S48,BS210_S48,
BS_211_S49,BS211_S49,
BS_212_S50,BS212_S50,
BS_215_S53,BS215_S53,
BS_216_S54,BS216_S54,
BS_217_S55,BS217_S55,
BS_218_S56,BS218_S56,
BS_219_S57,BS219_S57,
BS_227_S65,BS227_S65,
BS_228_S66,BS228_S66,
BS_229_S67,BS229_S67,
BS_230_S68,BS230_S68,
BS_231_S69,BS231_S69,
BS_232_S70,BS232_S70,
BS_240_S78,BS240_S78,
BS_241_S79,BS241_S79,
BS_242_S80,BS242_S80,
BS_247_S85,BS247_S85,
BS_248_S86,BS248_S86,
BS_249_S87,BS249_S87,
BS_25_S86,BS.25_S86,
BS_250_S88,BS250_S88,
BS_251_S89,BS251_S89,
BS_252_S90,BS252_S90,
BS_259_S97,BS259_S97,
BS_26_S87,BS.26_S87,
BS_260_S98,BS260_S98,
BS_261_S99,BS261_S99,
BS_262_S100,BS262_S100,
BS_263_S101,BS263_S101,
BS_264_S102,BS264_S102,
BS_27_S88,BS.27_S88,
BS_28_S89,BS.28_S89,
BS_29_S90,BS.29_S90,
BS_3_S64,BS.3_S64,
BS_37_S98,BS.37_S98,
BS_38_S99,BS.38_S99,
BS_39_S100,BS.39_S100,
BS_4_S65,BS.4_S65,
BS_40_S101,BS.40_S101,
BS_41_S102,BS.41_S102,
BS_42_S103,BS.42_S103,
BS_49_S110,BS.49_S110,
BS_5_S66,BS.5_S66,
BS_50_S111,BS.50_S111,
BS_51_S112,BS.51_S112,
BS_52_S113,BS.52_S113,
BS_53_S114,BS.53_S114,
BS_54_S115,BS.54_S115,
BS_61_S122,BS.61_S122,
BS_62_S123,BS.62_S123,
BS_63_S124,BS.63_S124,
BS_64_S125,BS.64_S125,
BS_65_S126,BS.65_S126,
BS_66_S127,BS.66_S127,
