ASV_ID,Placement_Global,Placement_CyanoPlastid,Placement_Cyanobacteria,Placement_Prochlorococcus,Placement_Synechococcus,Placement_Plastids,Placement_Stramenopiles,Placement_Dictyochophytes,Placement_Pelagophytes,Placement_Viridiplantae,Placement_Prasinophytes
011cc782818ccf2bf3f1091574cd4d79,Vibrio_1_4_15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73d4d6ae2a8f5c187cef92361d8d7dd3,Photobacterium_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f91fdc6328b76737d0b270bcc1a152e6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e0a5f7043947e48324821e8e044f0955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76f2b7583e6b4983410fe5adc14f577c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76b87c24540e034c5d3f57302090095a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
662e8e1c47602284150b516a4bbd8123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
635e01f65277ce7c67ddd6811d3ed224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2d22934e0a32f33f5bea7ab9dab331e4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1366425a8c5ab3774becb638d131637b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0fc9146af2e1b6945d85877a2a4c01ef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
085dd66ebbab506a39a816e21158b246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49ea956596af77af277fb3f5021b81c1,Chromatiales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd3f92c4d690d404dc9eca0388fce101,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a0ba74e0c2f5572c3ed308f5ff6759d2,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87bcb45be0a9aed54b96260549ff2fe6,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5757650cf1592d295557facd5fc5c92a,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200ca5ffa33dc6d39fac665a83e670fc,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a09edc5c282226d7815c1bfda45e124d,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8bf8ae07f12412e113cd86a28fc7121d,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46eb774c7c927df58a373d521e472ec7,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
429cbc16900b0182c399d241c25979cc,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ff7d19e543601907ee2784145a051d94,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f62064a54037de04c2b767c40bad625c,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
de37c78fc8735ee0dc761ef8a63cc523,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cb1a1402d935099b5ea188ffa8e7ab33,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c2b66ebb52e463b5b200c105bd881767,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b40e9898e815a3dbcae4befc896e063e,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99ccd7cbec6ab3f6623581dfbecc573a,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
951ee62513c17d23ecea9b0665c7e8a5,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8f2d2e59ab32a6355c9530a7070a80af,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
820ef2a5f545d8cbaa20e1a8a1fd05b4,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7b6180457bbf4451a0c64316baa3bcd8,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05434a7c75d571d2614e1a8fe516cbb9,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd316faaae89053af5ece7f865b3e5a5,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
de398db57912344ffa0b97c668384359,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b6cb5ec9461979d3cb2df00acfe6f7d0,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fb533e3ff9cb959aabbf4785701b411d,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fb25aa16dd3d2113b5089a6d64c1e4d1,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d3019f749bb1ce4c1a5b2099ca65ff8a,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b5ac9ce9473ef34e5b67c9237a8e1507,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a9762024d4c1b4387bd2d0921791f909,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a582d3697598577bf19f2d2becdd60e7,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8ba5c48f4df08a13dddb32c6d2ca6b01,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8ab57c42d54b425e2dff286fe3cd4806,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85ba09ff1b56ab8a97acb01fbbb863ab,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64e37168a84962d0f4c7933085b62083,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5e3b7cd506f7005f49839c54b45a2035,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
580fd12f505d71cb337a172f16ddc376,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25529a7d7f2d3f315ea1ea2e16af90b7,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f711e40b2fe3b2c91cd8ff834b760c87,Alteromonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
