ASV_ID,Bengal-C10N17,Bengal-C10N23,Bengal-C11N11,Bengal-C11N23,Bengal-C12N13A,Bengal-C12N13B,Bengal-C12N23A,Bengal-C12N23B,Bengal-C13N11,Bengal-C13N23,Bengal-C14N10A,Bengal-C14N10B,Bengal-C14N23A,Bengal-C14N23B,Bengal-C15N23A,Bengal-C15N23B,Bengal-C16N11,Bengal-C16N23,Bengal-C17N15,Bengal-C17N23,Bengal-C18N17,Bengal-C18N23,Bengal-C1N17,Bengal-C1N23,Bengal-C2N17,Bengal-C2N23,Bengal-C3N17,Bengal-C3N23,Bengal-C4N17A,Bengal-C4N17B,Bengal-C4N17C,Bengal-C4N23,Bengal-C5N13,Bengal-C5N23,Bengal-C6N17,Bengal-C6N23,Bengal-C7N13,Bengal-C7N23,Bengal-C8N13,Bengal-C8N23,Bengal-C9N11,Bengal-C9N23
111863e934643747acb18b695258cb50,7,0,0,0,14,0,12,93,0,29,218,49,52,0,17,12,11,24,0,26,0,19,0,0,14,0,0,0,0,0,0,0,0,0,22,0,16,0,0,0,0,0
46d7547cd9a3aafa5f4573a0923efafe,48,0,30,0,145,0,0,0,0,0,142,0,0,0,0,0,41,0,43,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,55,0,0,0
a47685be74e1b7a143b493d89e5aa467,0,66,0,0,0,0,0,102,0,0,0,0,80,0,59,69,0,108,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0
c2d65f9d3a45c35d825f6c059ddf023d,0,93,0,56,0,0,69,54,0,55,0,0,93,0,0,91,0,90,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
0dafee9b500efb12067d24147ab37d9d,0,72,0,39,0,0,0,71,0,34,0,0,123,0,17,35,0,43,0,34,0,47,0,0,0,23,0,0,0,26,0,0,0,0,0,0,0,26,0,42,0,0
c86788d611f83d6d42ec0fa8b6ffc546,40,0,16,0,97,19,0,0,37,0,46,0,0,0,0,0,34,0,72,0,21,0,0,0,0,0,43,0,0,0,0,0,0,29,62,0,53,0,31,0,30,0
e707909267e59d12b1c376d4cce2fa4c,81,0,30,0,38,0,0,0,55,0,80,22,0,0,0,0,78,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,37,0,13,0,25,0
84d9d712b2f6700f7990d25a9fec9512,44,77,0,0,0,0,0,126,0,0,66,0,102,0,0,68,0,0,0,0,0,47,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0
a870d1e9baf262a1dce41a851d0aa676,14,0,20,0,67,0,0,0,48,0,34,0,0,0,0,0,74,0,24,0,60,0,0,0,0,0,0,0,13,0,0,0,0,37,46,0,71,0,74,0,47,0
cc3c087df0af53cbe4617ea72cf2f5f0,33,0,0,0,138,0,0,0,31,0,0,0,0,0,0,0,37,0,0,0,51,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,92,0,40,0,62,0
46a08d2747a93c217739a7515a148844,0,0,0,0,227,33,0,0,0,0,69,0,0,0,0,0,41,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,18,0,107,0,90,0
f6e953000c0018de103f0540dbb4dec8,0,11,0,15,7,0,13,26,0,48,10,0,86,8,130,111,0,38,8,25,10,21,0,0,0,0,0,0,0,0,0,0,5,0,8,2,6,16,0,15,0,8
f3c2172e225f759b920dcc7abb57d3e9,0,0,18,0,102,21,0,0,47,0,0,0,0,0,0,0,85,0,15,0,84,0,0,0,0,0,0,0,0,0,0,0,0,19,51,0,55,0,65,0,65,0
81bda164af5e8ca31077bc33065b7b48,41,0,18,0,79,0,0,0,74,0,78,27,0,0,0,0,46,0,26,0,27,0,0,0,0,0,0,0,0,9,0,0,0,0,65,0,39,0,49,0,48,0
4b80efa460042363e76da6fe2257bf6c,0,82,0,40,0,0,0,61,0,0,76,0,78,0,35,62,0,70,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,47,0,0
5eb4f741e34e7e4bb04a66c2a4e66e76,28,0,14,0,47,11,0,0,39,0,70,26,0,0,0,0,26,0,59,0,27,0,0,0,0,0,0,0,0,95,25,0,0,0,44,0,53,0,21,0,37,0
36fba8d0b58acc49687661eb667b9642,19,0,0,0,72,15,0,0,44,0,104,18,0,0,0,0,63,0,91,0,33,0,0,0,0,0,11,0,0,46,21,0,0,0,38,0,0,0,34,0,13,0
46eb774c7c927df58a373d521e472ec7,0,0,0,0,75,0,0,0,0,0,210,34,0,0,40,65,0,0,60,0,79,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
31dc6ab40a92b3faf1f701b93c49b0ba,0,0,0,0,0,0,22,56,0,22,0,0,121,8,130,166,0,12,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,43,10,0,0,0,21,0,0
aa61d9c431f6aa651f83ef25e6ad2bef,0,0,0,0,0,0,0,81,0,0,38,0,75,0,61,83,0,0,0,69,0,80,35,0,0,0,0,0,0,0,0,63,36,0,0,0,0,0,0,0,0,0
ac2e2c3a958b562e56433fb1cbc0373d,37,0,24,0,58,0,0,0,53,0,0,0,0,0,0,0,52,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,58,113,0,144,0,0,0,0,0
9fd98bf5c87f6cdf3977ad8326a10aa3,46,0,0,0,110,0,0,0,69,0,80,0,0,0,0,0,64,0,52,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,52,0,0,0,0,0
fc18212ddfaa3ec922dfb84c6665d8ac,0,36,0,0,0,0,0,41,0,26,29,0,94,0,69,62,0,38,0,52,0,0,0,0,0,35,0,0,0,37,0,0,25,0,0,24,0,27,0,0,0,22
bbc1a6da37f98f662a9c4db7c4129aef,0,0,0,0,21,0,0,0,36,0,46,0,0,0,0,0,100,0,149,0,53,0,0,0,0,0,14,0,4,41,0,0,0,38,98,0,14,0,3,0,0,0
39c1ad2a50c4ae0e185204fb6905d18d,0,74,0,0,0,0,0,113,0,0,0,0,110,0,57,92,0,52,0,60,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c772c4ff149fede3797435c2414c856e,0,0,0,0,116,0,0,0,0,0,158,0,0,0,0,0,30,0,38,0,27,0,54,0,0,0,57,0,0,103,0,0,0,0,0,0,0,0,33,0,0,0
e0be09a1b11e48a9a6d23b517850c47d,91,0,0,0,61,0,0,0,57,0,202,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,107,0,0,0,0,0,0,0
7940a7253dccdef90d4c71d12e7d5818,35,0,22,0,125,19,0,0,36,0,45,0,0,0,0,0,65,0,35,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,42,0,40,0,33,0
7ff93984200208268514012d14ad824e,0,0,56,0,36,0,0,32,0,0,47,0,0,10,64,58,0,0,74,0,57,0,0,0,11,0,0,0,0,0,0,0,0,0,51,0,0,0,23,0,95,0
5380269628b11475b026f3b112fb27a0,0,0,0,23,34,0,0,39,0,15,72,21,58,0,32,72,0,26,16,0,0,30,23,17,0,0,25,0,0,58,0,0,30,0,0,0,0,0,23,0,0,0
d6fcfa3db78eee1c6d1f14e56dbfa312,0,30,0,17,0,0,21,47,0,27,30,0,39,0,28,43,0,26,0,25,0,23,0,26,0,22,0,0,0,71,9,20,13,0,0,24,0,18,0,31,0,22
fd3f92c4d690d404dc9eca0388fce101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,308,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4949195c90d310368fb84dbf51d58750,20,0,24,0,116,14,0,0,41,0,36,14,0,0,0,0,28,0,31,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,69,0,61,0,40,0
119cff3478fa02d4e9e1954cd7e772f0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,100,0
30400958457d0434309ad61251407536,0,0,0,0,35,0,0,9,0,0,121,0,0,0,0,0,0,29,43,12,0,6,37,0,18,0,0,0,37,153,33,0,0,0,77,0,0,0,0,0,0,0
