name	edge_num	taxon	like_weight_ratio
seq18069	193	bac	0.513784
seq8220	193	bac	0.62479
seq28455	193	bac	0.636811
seq29039	112	bac	0.461256
seq22230	193	bac	0.627857
seq21251	399	rap	0.231391
seq18149	193	bac	0.332133
seq10039	151	bac	0.525828
seq60192	94	bac	0.964277
seq28325	529	chr	0.616918
seq49171	100	bac	0.823768
seq19643	324	pel_clade_A	0.142857
seq4567	93	bac	0.248795
seq60447	193	bac	0.357514
seq40205	93	bac	0.254187
seq40337	93	bac	0.25659
seq42585	100	bac	0.31086
seq42805	193	bac	0.310428
seq40959	138	bac	0.338184
seq18206	100	bac	0.259323
seq54525	100	bac	0.793332
seq1744	102	bac	0.178524
seq60120	79	bac	0.251136
seq58064	86	bac	0.258618
seq52420	76	bac	0.589187
seq35038	100	bac	0.261668
seq3303	76	bac	0.61878
seq2539	76	bac	0.905772
seq41509	100	bac	0.260769
seq59839	80	bac	0.769424
seq12602	86	bac	0.349777
seq2485	110	bac	0.67223
seq42637	105	bac	0.252424
seq53509	86	bac	0.319739
seq8023	100	bac	0.313163
seq56176	99	bac	0.674574
seq59990	80	bac	0.216555
seq31928	106	bac	0.435619
seq6434	106	bac	0.456274
seq4859	73	bac	0.181376
seq19680	73	bac	0.229236
seq3129	79	bac	0.52603
seq4076	65	bac	0.930762
seq26540	64	bac	0.291365
seq42226	64	bac	0.287792
seq5231	64	bac	0.755044
seq7221	64	bac	0.291365
seq41357	100	bac	0.405895
seq16434	62	bac	0.476818
seq61170	60	bac	0.278308
seq54008	66	bac	0.525613
seq6047	66	bac	0.194645
seq55405	85	bac	0.417211
seq2814	76	bac	0.357218
seq14447	73	bac	0.173005
seq53581	86	bac	0.402405
seq63140	74	bac	0.278666
seq58042	272	dic	0.142857
seq52613	42	bac	0.976001
seq25789	42	bac	0.937884
seq51942	42	bac	1
seq47756	42	bac	0.960265
seq1054	52	bac	0.568069
seq59131	43	bac	0.20018
seq15877	40	bac	0.325292
seq26152	41	bac	0.500239
seq57974	42	bac	0.629554
seq1207	41	bac	0.500241
seq61675	36	bac	0.857173
seq26155	40	bac	0.265058
seq42531	30	bac	0.142857
seq2738	30	bac	0.200138
seq4616	27	bac	1
seq47024	27	bac	1
seq25357	27	bac	1
seq14055	27	bac	1
seq10704	27	bac	1
seq17966	27	bac	1
seq5128	27	bac	0.986518
seq6650	27	bac	0.785485
seq33317	27	bac	0.946388
seq41339	27	bac	0.536498
seq60768	27	bac	0.886346
seq20103	27	bac	0.642257
seq4462	27	bac	0.934532
seq58966	27	bac	0.789403
seq18895	26	bac	0.333691
seq53622	27	bac	0.899943
seq3377	27	bac	0.934421
seq53259	27	bac	0.951331
seq58987	27	bac	0.845539
seq39762	27	bac	0.935809
seq24316	22	bac	1
seq1252	19	bac	0.954514
seq1626	14	bac	0.306137
seq51871	21	bac	0.317327
seq39839	22	bac	0.506185
seq24872	21	bac	0.274914
seq59968	21	bac	0.319189
seq6151	12	bac	0.960827
seq60358	14	bac	0.379787
seq4882	14	bac	0.471989
seq26614	21	bac	0.319718
seq19636	3	bac	0.83192
seq57640	30	bac	0.142857
seq58112	8	bac	0.853317
seq6522	1	bac	0.142857
seq56317	474	chr	0.142857
